	PPV/Precision	TPR/Sensitivity/Recall	TNR/Specificity	NPV	FPR	FNR	FDR	ACC	MCC
dsNA-sensing TLRs	0.7777777777777778	0.875	0.9646017699115044	0.9819819819819819	0.035398230088495575	0.125	0.2222222222222222	0.9534883720930233	0.7986836914585359
Other TLRs	1.0	0.9615384615384616	1.0	0.9444444444444444	0.0	0.038461538461538464	0.0	0.9767441860465116	0.9529531248281093
ssNA-sensing TLRs	0.9166666666666666	0.9428571428571428	0.9680851063829787	0.978494623655914	0.031914893617021274	0.05714285714285714	0.08333333333333333	0.9612403100775194	0.9030172973089392
